Ruta,Repartidor,Vehículo,Clientes
DR0054,855205,11529183,LA TAGLIATELLA POLIGON
DR0054,855205,11529183,"BOTANIC & FRUITS, S.L."
DR0054,855205,11529183,SUSHI YE
DR0054,855205,11529183,PIZZERIA TOSCANA
DR0054,855205,11529183,EL MOLI
DR0054,855205,11529183,FRANKFURT C'JOAN
DR0054,855205,11529183,CINEMES SUCRE
DR0054,855205,11529183,LA CAFE
DR0054,855205,11529183,RESTAURANTE SOFIA
DR0054,855205,11529183,BAR ATLANTIDA
DR0054,855205,11529183,BAR AVINGUDA
DR0054,855205,11529183,PALACIO DE ORIENTE
DR0054,855205,11529183,MGA GP VIC
DR0054,855205,11529183,BK VIC
DR0016,850001,11529182,BAR CAFETERIA KALESSY
DR0016,850001,11529182,CAFE LEO
DR0016,850001,11529182,RESTAURANTE ANATOLIA
DR0016,850001,11529182,BAR TRIANA
DR0016,850001,11529182,VINOUS
DR0016,850001,11529182,EL TIRO DE GRANOLLERS
DR0016,850001,11529182,BAR  EL NOU TUNEL
DR0016,850001,11529182,BAR COPACABANA
DR0016,850001,11529182,BAR EL VERMUTILLO II
DR0016,850001,11529182,FLECA P.BRETCHA (CAN BASSA)
DR0016,850001,11529182,FRANKFURT LA PLAÇA
DR0016,850001,11529182,BAR RESTAURANTE MERLY´S
DR0016,850001,11529182,TAVERNA TATXIN TATXIN
DR0016,850001,11529182,RTE AYOPAYA
DR0016,850001,11529182,RESTAURANTE MINT
DR0016,850001,11529182,FORN DE PA MARGARIDA
DR0016,850001,11529182,GRANJA LA NOU
DR0016,850001,11529182,BAR EL RECONET
DR0016,850001,11529182,BAR PAREDES I
DR0016,850001,11529182,BAR MORANA
DR0016,850001,11529182,BAR YUMEI II
DR0016,850001,11529182,BK GRANOLLERS RONDA SUD
DR0038,850011,11529181,BAR CAPARROS
DR0038,850011,11529181,EL MENÚ
DR0038,850011,11529181,PECADOS
DR0038,850011,11529181,IL PICCOLO BIONDO
DR0038,850011,11529181,PURE COFFEE
DR0038,850011,11529181,EL GLAM MOMENTS
DR0038,850011,11529181,IBERICUS GRANOLLERS
DR0038,850011,11529181,MODERN FOOD
DR0038,850011,11529181,LA GRANJA ( DEGUSTACIO )
DR0038,850011,11529181,LA CAMPERIA
DR0038,850011,11529181,RESTAURANTE EL SPOT
DR0038,850011,11529181,EL FORNET (GRANOLLERS)
DR0038,850011,11529181,ATARASII
DR0038,850011,11529181,BUSSINETS DE CUINA
DR0038,850011,11529181,TAPES
DR0038,850011,11529181,BINGO CASINO
DR0038,850011,11529181,EL MIRALLET
DR0038,850011,11529181,FLECA P.BRETCHA (PL. MALUQUER)
DR0038,850011,11529181,FRANKFURT LEO BOECK GRANOLLERS
DR0001,850012,11529160,412 COFFEE BEER
DR0001,850012,11529160,COME BIEN RESTAURANTE
DR0001,850012,11529160,BOKAO
DR0001,850012,11529160,BRASERIA LA TEJA
DR0001,850012,11529160,KIWI
DR0001,850012,11529160,RESTAURANTE EL CAU
DR0001,850012,11529160,VALLES DONER KEBAB
DR0001,850012,11529160,BAR PICASSO
DR0001,850012,11529160,LA BRUIXETA
DR0001,850012,11529160,BAR JOAN
DR0001,850012,11529160,CAFETERIA GRANJA LA CREPE
DR0001,850012,11529160,BAR ISLA CRISTINA
DR0001,850012,11529160,MERENDERO CAN XEC
DR0001,850012,11529160,BAR MAJOR 47
DR0001,850012,11529160,MERCAT DEL CARME BAR
DR0001,850012,11529160,BAR LOS HERMANOS.
DR0051,855190,11529211,El Celler d'en Miquel
DR0051,855190,11529211,Vacanal Jubany - Hamburgueseria
DR0051,855190,11529211,CA LA MEI
DR0051,855190,11529211,Bagel Coffee
DR0051,855190,11529211,CAFE SAMSARA
DR0051,855190,11529211,COFFEE & BAKERY CAN PAU
DR0051,855190,11529211,CAFETERIA SANT JORDI
DR0051,855190,11529211,BOCATTI BAR
DR0051,855190,11529211,LA MANDUCA
DR0051,855190,11529211,CARBO
DR0051,855190,11529211,CAFE VIC
DR0051,855190,11529211,CITY ARMS
DR0051,855190,11529211,CAFE PASTISSERIA BRUGUER
DA0216,855203,11529283,Dolç i Salat Cuba
DA0216,855203,11529283,BAR CASAL CAMPRODON
DA0216,855203,11529283,BAR PETIT
DA0216,855203,11529283,HOSTAL CAL XIC
DA0216,855203,11529283,Bar Restaurant Can Parlet
DA0216,855203,11529283,CA L'ANNA
DA0216,855203,11529283,Hotel Solana Del Ter
DA0216,855203,11529283,HOTEL RESGUARD DELS VENTS
DA0216,855203,11529283,ELS PAGESOS
DA0216,855203,11529283,DOLC I SALAT MATARO
DR0045,850000,11532927,BAR GRANADA
DR0027,850004,11534225,BAR NOU
DR0027,850004,11534225,MANLLEUET Cerveseria Restaurant
DR0027,850004,11534225,Restaurant bar Mundial
DR0027,850004,11534225,BAR EL TROPEZON
DR0027,850004,11534225,Els Angelets de Sobrevia
DR0027,850004,11534225,El Racó de la Gina
DR0027,850004,11534225,BAR FOMENT
DR0027,850004,11534225,BAR ELS ESTUDIS
DR0027,850004,11534225,RESTAURANT CAL XORIGUER
DR0027,850004,11534225,RESTAURANT LA FERRERIA
DR0027,850004,11534225,BAR PUIG-MEALS
DR0027,850004,11534225,PUB XAUXA
DR0027,850004,11534225,INDIA ''ESCLAT''
DR0027,850004,11534225,"BAR CAN TON, S.C.P"
DR0027,850004,11534225,BAR LA PARADA
DR0027,850004,11534225,BAR KOALA
DR0027,850004,11534225,FUTBOL STA. EULALIA
DR0027,850004,11534225,BAR MERCAT
DR0052,855184,11534224,COOPERATIVA GUISSONA
DR0038,850011,11534286,CAFETERIA LA CANTONADA
DR0038,850011,11534286,BAR RESTAURANTE CAL DAVID
DR0038,850011,11534286,FORN LA CARMEN
DR0038,850011,11534286,TROBADA
DR0038,850011,11534286,EL SAZON DE ROSARIO
DR0038,850011,11534286,RESTAURANT NOU CAP MANY
DR0038,850011,11534286,GRANA BAR BY DUMAS
DR0038,850011,11534286,BAR LA CANTINA
DR0038,850011,11534286,RESTAURANTE VII
DR0038,850011,11534286,INDOORWALL GRANOLLERS
DR0038,850011,11534286,TEATRE AUDITORI DE GRANOLLERS-BAR
DR0038,850011,11534286,BAR LAS TAPAS
DR0038,850011,11534286,BAR RESTAURANTE MERLY´S
DR0038,850011,11534286,EL RACO DE LA VIKI
DR0038,850011,11534286,BAR RESTAURANT CAN CHEN
DR0038,850011,11534286,LA BAGUETINA
DR0010,850010,11534285,BAR EPORA 2
DR0010,850010,11534285,CARNICERIA RODRIGUEZ
DR0010,850010,11534285,Bar libra
DR0010,850010,11534285,Casal Avis Extremadura
DR0010,850010,11534285,EL BAR DE LA ISA
DR0010,850010,11534285,LA TASKA DE CARMEN
DR0010,850010,11534285,BAR LA PLAÇA LES FRANQUESES
DR0010,850010,11534285,RSTE. MESON BELLAVISTA
DR0010,850010,11534285,CAFETERIA DEGUSTACION LA CANTONADA
DR0010,850010,11534285,BAR LA CAVERNA
DR0010,850010,11534285,FLECA P.BRETCHA (BELLAVISTA)
DR0010,850010,11534285,PASTISSERIA CAN GANDUXER
DR0010,850010,11534285,RESTAURANTE SANT SADURNI
DR0010,850010,11534285,BAR MIRADOR
DR0010,850010,11534285,BAR CAN MOI
DR0032,850014,11534284,La Sala
DR0032,850014,11534284,CLUB CAL ARTIGUES
DR0032,850014,11534284,REST. EL PASO
DR0032,850014,11534284,EL GRILLAT
DR0032,850014,11534284,CLUB PETANCA PARETS
DR0032,850014,11534284,LA PERGOLA
DR0032,850014,11534284,RSTE. LA GRUILLA
DR0032,850014,11534284,BAR NADAL
DR0032,850014,11534284,BAR CAFETERIA EL TAST
DR0032,850014,11534284,GRANJA D'EN PEP
DR0032,850014,11534284,GRANJA BAR EL MASET
DR0054,855205,11534283,JJ BAR
DR0054,855205,11534283,AMBIGU
